# id	left	top	right	bottom	texture_id
[SPRITES]
#GROUND FLOOR TOP
1000010	112	128	127	143	70
1000020	128	128	143	143	70
1000030	144	128	159	143	70

#GROUND FLOOR BOTTOM
1000110	0	144	15	159	70
1000120	16	144	31	159	70
1000130	32	144	47	159	70

#BLUE BLOCK
1000205	128	64	143	79	70
1000210	144	64	159	79	70
1000215	160	64	175	79	70

1000220	128	80	143	95	70
1000225	144	80	159	95	70
1000230	160	80	175	95	70
1000235	80	112	95	127	70
1000240	160	96	175	111	70

1000245	16	128	31	143	70
1000250	32	128	47	143	70

#BIG BUSH
1000310	112	48	127	63	70
1000320	128	48	143	63	70
1000330	64	64	79	79	70
1000340	0	96	15	111	70

1000350	48	64	63	79	70
1000360	0	80	15	95	70
1000370	16	80	31	95	70

#SMALL BUSH
1000380	160	112	175	127	70

#PINK BLOCK
1000405	64	16	79	31	70
1000410	80	16	95	31	70
1000415	96	16	111	31	70

1000420	96	96	111	111	70
1000425	112	96	127	111	70
1000430	128	96	143	111	70
1000435	64	112	79	127	70
1000440	144	112	159	127	70

1000445	128	16	143	31	70
1000450	144	16	159	31	70
1000455	160	16	175	31	70
1000460	96	128	111	143	70

#GREEN BLOCK
1000510	0	48	15	63	70
1000520	16	48	31	63	70
1000530	32	48	47	63	70

1000540	64	48	79	63	70
1000550	80	48	95	63	70
1000560	96	48	111	63	70

1000570	48	128	63	143	70
1000580	64	128	79	143	70
1000590	80	128	95	143	70

#WHITE BLOCK
1000610	160	48	175	63	70
1000620	0	64	15	79	70
1000630	16	64	31	79	70

1000640	80	64	95	79	70
1000650	96	64	111	79	70
1000660	112	64	127	79	70
1000670	112	80	127	95	70
1000680	144	96	159	111	70

#OUTTER SHADER
1000710	112	16	127	31	70
1000720	0	32	15	47	70

#CLOUD PLATFORM
1000810	80	32	95	47	70
1000820	96	32	111	47	70
1000830	112	32	127	47	70

1000840	128	32	143	47	70
1000850	144	32	159	47	70
1000860	160	32	175	47	70

# BRICK PLATFORM
1000910	16	16	32	32	70

# ZEBRA BRICK
1001000	164	6	180	22	60
