# id	left	top	right	bottom	texture_id
[SPRITES]
# HUD BACKGROUND
//103100	0	2	252	35	120
103100	8	2	260	35	120

# NUMBER
# 0
103010	33	31	40	40	110

# 1
103011	43	31	50	40	110

# 2
103012	53	31	60	40	110

# 3
103013	63	31	70	40	110

# 4
103014	73	31	80	40	110

# 5
103015	83	31	90	40	110

# 6
103016	93	31	100	40	110

# 7
103017	103	31	110	40	110

# 8
103018	103	31	110	40	110

# 9
103019	123	31	130	40	110

#A
103020	133	32	140	39	110

#B
103021	143	32	150	39	110

#C
103022	33	42	40	49	110

#D
103023	43	42	50	49	110

#E
103024	53	42	60	49	110

#F
103025	63	42	70	49	110

#G
103026	73	42	80	49	110

#H
103027	83	42	90	49	110

#I
103028	94	42	97	49	110

#J
103029	103	42	110	49	110

#K
103030	113	42	120	49	110

#L
103031	123	42	130	49	110

#M
103032	133	42	140	49	110

#N
103033	143	42	150	49	110

#O
103034	33	52	40	59	110

#P
103035	43	52	50	59	110

#Q
103036	53	52	60	59	110

#R
103037	63	52	70	59	110

#S
103038	73	52	80	59	110

#T
103039	83	52	90	59	110

#U
103040	93	52	100	59	110

#V
103041	103	52	110	59	110

#W
103042	113	52	120	59	110

#X
103043	123	52	130	59	110

#Y
103044	133	52	140	59	110

#Z
103045	143	52	150	59	110

#!
103046	102	132	107	139	110

# @
103047	154	52	161	59	110

#CLOCK ICON
103072	99	65	108	74	110

#DOLAR ICON
103073	109	63	118	74	110

#TOP LEFT CORNER ICON
103074	0	0	15	15	180

#TOP RIGHT CORNER ICON
103075	112	0	127	15	180

#BOTTOM LEFT CORNER ICON
103076	0	48	15	63	180

#BOTTOM RIGHT CORNER ICON
103077	112	48	127	63	180

#HORIZONTAL EDGE TOP ICON
103078	88	0	103	15	180

#HORIZONTAL EDGE BOTTOM ICON
103079	33	48	48	63	180

#VERTICAL EDGE LEFT ICON
103080	0	17	15	32	180

#VERTICAL EDGE RIGHT ICON
103081	112	11	127	26	180

# ARROW WHITE
103082	3	32	10	39	110

# ARROW BLACK
103083	0	41	7	48	110

# FULL POWER WHITE
103084	11	31	26	40	110

# FULL POWER BLACK
103085	11	57	26	64	110

#X ICON
103086	0	51	5	56	110

#COLOR ICON BLUE
103087	101	7	116	22	180

# LIFE ICON
103088	6	40	23	49	110

# RED ARROW ICON
103089	45	148	50	154	110

# COLOR ICON BLACK
103090	4	4	19	19	190

# CARD STAR ICON
103091	20	18	35	33	130

# CARD FLOWER ICON
103092	48	18	63	33	130

# CARD MUSHROOM ICON
103093	76	18	91	33	130

#SPRITE NULL
103094	65	14	75	22	180

# WHITE FRAME
103095	15	42	40	67	130

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# HUD BACKGROUND
103001	103100	100000000

# NUMBER
# 0
103010	103010	100000000

# 1
103011	103011	100000000

# 2
103012	103012	100000000

# 3
103013	103013	100000000

# 4
103014	103014	100000000

# 5
103015	103015	100000000

# 6
103016	103016	100000000

# 7
103017	103017	100000000

# 8
103018	103018	100000000

# 9
103019	103019	100000000

#A
103020	103020	100000000

#B
103021	103021	100000000

#C
103022	103022	100000000

#D
103023	103023	100000000

#E
103024	103024	100000000

#F
103025	103025	100000000

#G
103026	103026	100000000

#H
103027	103027	100000000

#I
103028	103028	100000000

#J
103029	103029	100000000

#K
103030	103030	100000000

#L
103031	103031	100000000

#M
103032	103032	100000000

#N
103033	103033	100000000

#O
103034	103034	100000000

#P
103035	103035	100000000

#Q
103036	103036	100000000

#R
103037	103037	100000000

#S
103038	103038	100000000

#T
103039	103039	100000000

#U
103040	103040	100000000

#V
103041	103041	100000000

#W
103042	103042	100000000

#X
103043	103043	100000000

#Y
103044	103044	100000000

#Z
103045	103045	100000000

#!
103046	103046	100000000

# @
103047	103047	100000000

#CLOCK ICON
103072	103072	100000000

#DOLAR ICON
103073	103073	100000000

#TOP LEFT CORNER ICON
103074	103074	100000000

#TOP RIGHT CORNER ICON
103075	103075	100000000

#BOTTOM LEFT CORNER ICON
103076	103076	100000000

#BOTTOM RIGHT CORNER ICON
103077	103077	100000000

#HORIZONTAL TOP EDGE ICON
103078	103078	100000000

#HORIZONTAL BOTTOM EDGE ICON
103079	103079	100000000

#VERTICAL LEFT EDGE ICON
103080	103080	100000000

#VERTICAL RIGHT EDGE ICON
103081	103081	100000000

# ARROW WHITE
103082	103082	100000000

# ARROW WHITE
103083	103083	100000000

# FULL POWER WHITE
103084	103084	100000000

# FULL POWER BLACK
103085	103085	100000000

# X ICON
103086	103086	100000000

#COLOR ICON BLUE
103087	103087	100000000

# LIFE ICON
103088	103088	100000000

# RED ARROW ICON
103089	103089	100000000

# COLOR ICON BLACK
103090	103090	100000000

# CARD STAR ICON
103091	103091	100000000

# CARD FLOWER ICON
103092	103092	100000000

# CARD MUSHROOM ICON
103093	103093	100000000

# WHITE FRAME
103095	103095	100000000
